"Copyright © 2001-2019 Python Software Foundation; All Rights Reserved"

ID,text,functionality,concept,directives,purpose,quality,control,structure,patterns,codeExamples,environment,reference,nonInformation
37,"class gzip.GzipFile(filename=None, mode=None, compresslevel=9, fileobj=None, mtime=None)
 Constructor for the GzipFile class, which simulates most of the methods of a file object, with the exception of the readinto() and truncate() methods. At least one of fileobj and filename must be given a non-trivial value.
 
 The new class instance is based on fileobj, which can be a regular file, a StringIO object, or any other object which simulates a file. It defaults to None, in which case filename is opened to provide a file object.
 
 When fileobj is not None, the filename argument is only used to be included in the gzip file header, which may includes the original filename of the uncompressed file. It defaults to the filename of fileobj, if discernible; otherwise, it defaults to the empty string, and in this case the original filename is not included in the header.
 
 The mode argument can be any of 'r', 'rb', 'a', 'ab', 'w', or 'wb', depending on whether the file will be read or written. The default is the mode of fileobj if discernible; otherwise, the default is 'rb'. If not given, the ‘b’ flag will be added to the mode to ensure the file is opened in binary mode for cross-platform portability.
 
 The compresslevel argument is an integer from 1 to 9 controlling the level of compression; 1 is fastest and produces the least compression, and 9 is slowest and produces the most compression. The default is 9.
 
 The mtime argument is an optional numeric timestamp to be written to the stream when compressing. All gzip compressed streams are required to contain a timestamp. If omitted or None, the current time is used. This module ignores the timestamp when decompressing; however, some programs, such as gunzip, make use of it. The format of the timestamp is the same as that of the return value of time.time() and of the st_mtime member of the object returned by os.stat().
 
 Calling a GzipFile object’s close() method does not close fileobj, since you might wish to append more material after the compressed data. This also allows you to pass a StringIO object opened for writing as fileobj, and retrieve the resulting memory buffer using the StringIO object’s getvalue() method.
 
 GzipFile supports the with statement.
 
 Changed in version 3.1: Support for the with statement was added.",1,0,1,0,0,1,1,0,0,0,0,0
38,"class bz2.BZ2Decompressor
 Create a new decompressor object. This object may be used to decompress data sequentially. If you want to decompress data in one shot, use the decompress() function instead.
 
 decompress(data)
 Provide more data to the decompressor object. It will return chunks of decompressed data whenever possible. If you try to decompress data after the end of stream is found, EOFError will be raised. If any data was found after the end of stream, it’ll be ignored and saved in unused_data attribute.",1,0,0,0,0,0,0,0,0,0,0,1
39,"The tarfile module makes it possible to read and write tar archives, including those using gzip or bz2 compression. Use the zipfile module to read or write .zip files, or the higher-level functions in shutil.
 
 Some facts and figures:
 
 reads and writes gzip and bz2 compressed archives if the respective modules are available.
 
 read/write support for the POSIX.1-1988 (ustar) format.
 
 read/write support for the GNU tar format including longname and longlink extensions, read-only support for the sparse extension.
 
 read/write support for the POSIX.1-2001 (pax) format.
 
 New in version 2.6.
 
 handles directories, regular files, hardlinks, symbolic links, fifos, character devices and block devices and is able to acquire and restore file information like timestamp, access permissions and owner.
 
 tarfile.open(name=None, mode='r', fileobj=None, bufsize=10240, **kwargs)
 Return a TarFile object for the pathname name. For detailed information on TarFile objects and the keyword arguments that are allowed, see TarFile Objects.
 
 mode has to be a string of the form 'filemode[:compression]', it defaults to 'r'. Here is a full list of mode combinations:
 
 mode action
 'r' or 'r:*' Open for reading with transparent compression (recommended).
 'r:' Open for reading exclusively without compression.
 'r:gz' Open for reading with gzip compression.
 'r:bz2' Open for reading with bzip2 compression.
 'a' or 'a:' Open for appending with no compression. The file is created if it does not exist.
 'w' or 'w:' Open for uncompressed writing.
 'w:gz' Open for gzip compressed writing.
 'w:bz2' Open for bzip2 compressed writing.
 Note that 'a:gz' or 'a:bz2' is not possible. If mode is not suitable to open a certain (compressed) file for reading, ReadError is raised. Use mode 'r' to avoid this. If a compression method is not supported, CompressionError is raised.
 
 If fileobj is specified, it is used as an alternative to a file object opened for name. It is supposed to be at position 0.
 
 For modes 'w:gz', 'r:gz', 'w:bz2', 'r:bz2', tarfile.open() accepts the keyword argument compresslevel (default 9) to specify the compression level of the file.
 
 For special purposes, there is a second format for mode: 'filemode|[compression]'. tarfile.open() will return a TarFile object that processes its data as a stream of blocks. No random seeking will be done on the file. If given, fileobj may be any object that has a read() or write() method (depending on the mode). bufsize specifies the blocksize and defaults to 20 * 512 bytes. Use this variant in combination with e.g. sys.stdin, a socket file object or a tape device. However, such a TarFile object is limited in that it does not allow random access, see Examples. The currently possible modes:
 
 Mode Action
 'r|*' Open a stream of tar blocks for reading with transparent compression.
 'r|' Open a stream of uncompressed tar blocks for reading.
 'r|gz' Open a gzip compressed stream for reading.
 'r|bz2' Open a bzip2 compressed stream for reading.
 'w|' Open an uncompressed stream for writing.
 'w|gz' Open a gzip compressed stream for writing.
 'w|bz2' Open a bzip2 compressed stream for writing.",1,1,1,0,0,0,1,0,0,1,1,0
40,"class ConfigParser.ConfigParser([defaults[, dict_type[, allow_no_value]]])
 Derived class of RawConfigParser that implements the magical interpolation feature and adds optional arguments to the get() and items() methods. The values in defaults must be appropriate for the %()s string interpolation. Note that __name__ is an intrinsic default; its value is the section name, and will override any value provided in defaults.
 
 All option names used in interpolation will be passed through the optionxform() method just like any other option name reference. Using the default implementation of optionxform(), the values foo %(bar)s and foo %(BAR)s are equivalent.
 
 New in version 2.3.
 
 Changed in version 2.6: dict_type was added.
 
 Changed in version 2.7: The default dict_type is collections.OrderedDict. allow_no_value was added.",1,1,1,0,0,1,0,0,0,0,0,0
41,"class robotparser.RobotFileParser(url='')
 This class provides methods to read, parse and answer questions about the robots.txt file at url.",1,0,0,0,0,0,0,0,0,0,0,1
42,"This module implements a common interface to many different secure hash and message digest algorithms. Included are the FIPS secure hash algorithms SHA1, SHA224, SHA256, SHA384, and SHA512 (defined in FIPS 180-2) as well as RSA’s MD5 algorithm (defined in Internet RFC 1321). The terms secure hash and message digest are interchangeable. Older algorithms were called message digests. The modern term is secure hash.
 
 Note If you want the adler32 or crc32 hash functions, they are available in the zlib module.
 Warning Some algorithms have known hash collision weaknesses, refer to the “See also” section at the end.
 There is one constructor method named for each type of hash. All return a hash object with the same simple interface. For example: use sha1() to create a SHA1 hash object. You can now feed this object with arbitrary strings using the update() method. At any point you can ask it for the digest of the concatenation of the strings fed to it so far using the digest() or hexdigest() methods.
 
 Constructors for hash algorithms that are always present in this module are md5(), sha1(), sha224(), sha256(), sha384(), and sha512(). Additional algorithms may also be available depending upon the OpenSSL library that Python uses on your platform.
 
 For example, to obtain the digest of the string 'Nobody inspects the spammish repetition':
 
 >>> import hashlib
 >>> m = hashlib.md5()
 >>> m.update(""Nobody inspects"")
 >>> m.update("" the spammish repetition"")
 >>> m.digest()
 '\xbbd\x9c\x83\xdd\x1e\xa5\xc9\xd9\xde\xc9\xa1\x8d\xf0\xff\xe9'
 >>> m.digest_size
 16
 >>> m.block_size
 64
 More condensed:
 
 >>> hashlib.sha224(""Nobody inspects the spammish repetition"").hexdigest()
 'a4337bc45a8fc544c03f52dc550cd6e1e87021bc896588bd79e901e2'
 A generic new() constructor that takes the string name of the desired algorithm as its first parameter also exists to allow access to the above listed hashes as well as any other algorithms that your OpenSSL library may offer. The named constructors are much faster than new() and should be preferred.
 
 Using new() with an algorithm provided by OpenSSL:
 
 >>> h = hashlib.new('ripemd160')
 >>> h.update(""Nobody inspects the spammish repetition"")
 >>> h.hexdigest()
 'cc4a5ce1b3df48aec5d22d1f16b894a0b894eccc'",1,1,1,0,1,0,0,1,1,1,1,0
43,"os.environ
 A mapping object representing the string environment. For example, environ['HOME'] is the pathname of your home directory (on some platforms), and is equivalent to getenv(""HOME"") in C.
 
 This mapping is captured the first time the os module is imported, typically during Python startup as part of processing site.py. Changes to the environment made after this time are not reflected in os.environ, except for changes made by modifying os.environ directly.
 
 If the platform supports the putenv() function, this mapping may be used to modify the environment as well as query the environment. putenv() will be called automatically when the mapping is modified.
 
 Note Calling putenv() directly does not change os.environ, so it’s better to modify os.environ.
 Note On some platforms, including FreeBSD and Mac OS X, setting environ may cause memory leaks. Refer to the system documentation for putenv().
 If putenv() is not provided, a modified copy of this mapping may be passed to the appropriate process-creation functions to cause child processes to use a modified environment.
 
 If the platform supports the unsetenv() function, you can delete items in this mapping to unset environment variables. unsetenv() will be called automatically when an item is deleted from os.environ, and when one of the pop() or clear() methods is called.
 
 Changed in version 2.6: Also unset environment variables when calling os.environ.clear() and os.environ.pop().",1,1,1,0,1,1,0,0,0,1,1,0
44,"time.sleep(secs)¶
 Suspend execution of the current thread for the given number of seconds. The argument may be a floating point number to indicate a more precise sleep time. The actual suspension time may be less than that requested because any caught signal will terminate the sleep() following execution of that signal’s catching routine. Also, the suspension time may be longer than requested by an arbitrary amount because of the scheduling of other activity in the system.",1,0,0,0,0,0,0,0,0,0,0,1
45,"class argparse.ArgumentParser(prog=None, usage=None, description=None, epilog=None, parents=[], formatter_class=argparse.HelpFormatter, prefix_chars='-', fromfile_prefix_chars=None, argument_default=None, conflict_handler='error', add_help=True)
 Create a new ArgumentParser object. All parameters should be passed as keyword arguments. Each parameter has its own more detailed description below, but in short they are:
 
 prog - The name of the program (default: sys.argv[0])
 usage - The string describing the program usage (default: generated from arguments added to parser)
 description - Text to display before the argument help (default: none)
 epilog - Text to display after the argument help (default: none)
 parents - A list of ArgumentParser objects whose arguments should also be included
 formatter_class - A class for customizing the help output
 prefix_chars - The set of characters that prefix optional arguments (default: ‘-‘)
 fromfile_prefix_chars - The set of characters that prefix files from which additional arguments should be read (default: None)
 argument_default - The global default value for arguments (default: None)
 conflict_handler - The strategy for resolving conflicting optionals (usually unnecessary)
 add_help - Add a -h/--help option to the parser (default: True)",1,0,1,0,0,0,1,0,0,0,0,0
46,"getopt.gnu_getopt(args, options[, long_options])
 This function works like getopt(), except that GNU style scanning mode is used by default. This means that option and non-option arguments may be intermixed. The getopt() function stops processing options as soon as a non-option argument is encountered.
 
 If the first character of the option string is '+', or if the environment variable POSIXLY_CORRECT is set, then option processing stops as soon as a non-option argument is encountered.
 
 New in version 2.3.",1,0,0,0,0,1,0,0,0,0,0,0
47,"Loggers have the following attributes and methods. Note that Loggers are never instantiated directly, but always through the module-level function logging.getLogger(name). Multiple calls to getLogger() with the same name will always return a reference to the same Logger object.
 
 The name is potentially a period-separated hierarchical value, like foo.bar.baz (though it could also be just plain foo, for example). Loggers that are further down in the hierarchical list are children of loggers higher up in the list. For example, given a logger with a name of foo, loggers with names of foo.bar, foo.bar.baz, and foo.bam are all descendants of foo. The logger name hierarchy is analogous to the Python package hierarchy, and identical to it if you organise your loggers on a per-module basis using the recommended construction logging.getLogger(__name__). That’s because in a module, __name__ is the module’s name in the Python package namespace.
 
 class logging.Logger",1,1,0,0,0,0,1,0,0,0,0,0
48,"getpass.getpass([prompt[, stream]])
 Prompt the user for a password without echoing. The user is prompted using the string prompt, which defaults to 'Password: '. On Unix, the prompt is written to the file-like object stream. stream defaults to the controlling terminal (/dev/tty) or if that is unavailable to sys.stderr (this argument is ignored on Windows).
 
 If echo free input is unavailable getpass() falls back to printing a warning message to stream and reading from sys.stdin and issuing a GetPassWarning.
 
 Changed in version 2.5: The stream parameter was added.
 
 Changed in version 2.6: On Unix it defaults to using /dev/tty before falling back to sys.stdin and sys.stderr.
 
 Note If you call getpass from within IDLE, the input may be done in the terminal you launched IDLE from rather than the idle window itself.",1,0,0,0,0,1,0,0,0,1,0,0
49,"platform.architecture(executable=sys.executable, bits='', linkage='')
 Queries the given executable (defaults to the Python interpreter binary) for various architecture information.
 
 Returns a tuple (bits, linkage) which contain information about the bit architecture and the linkage format used for the executable. Both values are returned as strings.
 
 Values that cannot be determined are returned as given by the parameter presets. If bits is given as '', the sizeof(pointer) (or sizeof(long) on Python version < 1.5.2) is used as indicator for the supported pointer size.
 
 The function relies on the system’s file command to do the actual work. This is available on most if not all Unix platforms and some non-Unix platforms and then only if the executable points to the Python interpreter. Reasonable defaults are used when the above needs are not met.
 
 Note On Mac OS X (and perhaps other platforms), executable files may be universal files containing multiple architectures.
 To get at the “64-bitness” of the current interpreter, it is more reliable to query the sys.maxsize attribute:
 
 is_64bits = sys.maxsize > 2**32",1,0,0,0,1,0,0,0,1,1,0,0
50,"This module makes available standard errno system symbols. The value of each symbol is the corresponding integer value. The names and descriptions are borrowed from linux/include/errno.h, which should be pretty all-inclusive.
 
 errno.errorcode
 Dictionary providing a mapping from the errno value to the string name in the underlying system. For instance, errno.errorcode[errno.EPERM] maps to 'EPERM'.
 
 To translate a numeric error code to an error message, use os.strerror().",1,1,0,0,0,0,0,0,0,0,0,0
51,"ctypes exports the cdll, and on Windows windll and oledll objects, for loading dynamic link libraries.
 
 You load libraries by accessing them as attributes of these objects. cdll loads libraries which export functions using the standard cdecl calling convention, while windll libraries call functions using the stdcall calling convention. oledll also uses the stdcall calling convention, and assumes the functions return a Windows HRESULT error code. The error code is used to automatically raise a WindowsError exception when the function call fails.
 
 Here are some examples for Windows. Note that msvcrt is the MS standard C library containing most standard C functions, and uses the cdecl calling convention:
 
 >>> from ctypes import *
 >>> print windll.kernel32 
 <WinDLL 'kernel32', handle ... at ...>
 >>> print cdll.msvcrt 
 <CDLL 'msvcrt', handle ... at ...>
 >>> libc = cdll.msvcrt 
 >>>
 Windows appends the usual .dll file suffix automatically.
 
 On Linux, it is required to specify the filename including the extension to load a library, so attribute access can not be used to load libraries. Either the LoadLibrary() method of the dll loaders should be used, or you should load the library by creating an instance of CDLL by calling the constructor:
 
 >>> cdll.LoadLibrary(""libc.so.6"") 
 <CDLL 'libc.so.6', handle ... at ...>
 >>> libc = CDLL(""libc.so.6"") 
 >>> libc 
 <CDLL 'libc.so.6', handle ... at ...>
 >>>",1,1,1,0,0,0,1,0,1,1,0,0
52,"select.select(rlist, wlist, xlist[, timeout])
 This is a straightforward interface to the Unix select() system call. The first three arguments are sequences of ‘waitable objects’: either integers representing file descriptors or objects with a parameterless method named fileno() returning such an integer:
 
 rlist: wait until ready for reading
 wlist: wait until ready for writing
 xlist: wait for an “exceptional condition” (see the manual page for what your system considers such a condition)
 Empty sequences are allowed, but acceptance of three empty sequences is platform-dependent. (It is known to work on Unix but not on Windows.) The optional timeout argument specifies a time-out as a floating point number in seconds. When the timeout argument is omitted the function blocks until at least one file descriptor is ready. A time-out value of zero specifies a poll and never blocks.
 
 The return value is a triple of lists of objects that are ready: subsets of the first three arguments. When the time-out is reached without a file descriptor becoming ready, three empty lists are returned.
 
 Among the acceptable object types in the sequences are Python file objects (e.g. sys.stdin, or objects returned by open() or os.popen()), socket objects returned by socket.socket(). You may also define a wrapper class yourself, as long as it has an appropriate fileno() method (that really returns a file descriptor, not just a random integer).
 
 Note File objects on Windows are not acceptable, but sockets are. On Windows, the underlying select() function is provided by the WinSock library, and does not handle file descriptors that don’t originate from WinSock.",1,0,1,0,0,1,0,0,0,0,0,1
53,"thread.stack_size([size])
 Return the thread stack size used when creating new threads. The optional size argument specifies the stack size to be used for subsequently created threads, and must be 0 (use platform or configured default) or a positive integer value of at least 32,768 (32kB). If size is not specified, 0 is used. If changing the thread stack size is unsupported, the error exception is raised. If the specified stack size is invalid, a ValueError is raised and the stack size is unmodified. 32kB is currently the minimum supported stack size value to guarantee sufficient stack space for the interpreter itself. Note that some platforms may have particular restrictions on values for the stack size, such as requiring a minimum stack size > 32kB or requiring allocation in multiples of the system memory page size - platform documentation should be referred to for more information (4kB pages are common; using multiples of 4096 for the stack size is the suggested approach in the absence of more specific information). Availability: Windows, systems with POSIX threads",1,1,1,0,1,0,0,0,0,1,0,0
54,"The recommended way to launch subprocesses is to use the following convenience functions. For more advanced use cases when these do not meet your needs, use the underlying Popen interface.
 
 subprocess.call(args, *, stdin=None, stdout=None, stderr=None, shell=False)
 Run the command described by args. Wait for command to complete, then return the returncode attribute.
 
 The arguments shown above are merely the most common ones, described below in Frequently Used Arguments (hence the slightly odd notation in the abbreviated signature). The full function signature is the same as that of the Popen constructor - this functions passes all supplied arguments directly through to that interface.
 
 Examples:
 
 >>> subprocess.call([""ls"", ""-l""])
 0
 
 >>> subprocess.call(""exit 1"", shell=True)
 1
 Warning Using shell=True can be a security hazard. See the warning under Frequently Used Arguments for details.
 Note Do not use stdout=PIPE or stderr=PIPE with this function as that can deadlock based on the child process output volume. Use Popen with the communicate() method when you need pipes.",1,0,1,1,1,0,0,1,1,0,0,0
55,"socket.getaddrinfo(host, port[, family[, socktype[, proto[, flags]]]])
 Translate the host/port argument into a sequence of 5-tuples that contain all the necessary arguments for creating a socket connected to that service. host is a domain name, a string representation of an IPv4/v6 address or None. port is a string service name such as 'http', a numeric port number or None. By passing None as the value of host and port, you can pass NULL to the underlying C API.
 
 The family, socktype and proto arguments can be optionally specified in order to narrow the list of addresses returned. By default, their value is 0, meaning that the full range of results is selected. The flags argument can be one or several of the AI_* constants, and will influence how results are computed and returned. Its default value is 0. For example, AI_NUMERICHOST will disable domain name resolution and will raise an error if host is a domain name.
 
 The function returns a list of 5-tuples with the following structure:
 
 (family, socktype, proto, canonname, sockaddr)
 
 In these tuples, family, socktype, proto are all integers and are meant to be passed to the socket() function. canonname will be a string representing the canonical name of the host if AI_CANONNAME is part of the flags argument; else canonname will be empty. sockaddr is a tuple describing a socket address, whose format depends on the returned family (a (address, port) 2-tuple for AF_INET, a (address, port, flow info, scope id) 4-tuple for AF_INET6), and is meant to be passed to the socket.connect() method.
 
 The following example fetches address information for a hypothetical TCP connection to example.org on port 80 (results may differ on your system if IPv6 isn’t enabled):
 
 >>> socket.getaddrinfo(""example.org"", 80, 0, 0, socket.IPPROTO_TCP)
 [(10, 1, 6, '', ('2606:2800:220:1:248:1893:25c8:1946', 80, 0, 0)),
  (2, 1, 6, '', ('93.184.216.34', 80))]
 New in version 2.2.",1,1,0,0,0,0,0,1,1,0,0,0
56,"signal.alarm(time)¶
 If time is non-zero, this function requests that a SIGALRM signal be sent to the process in time seconds. Any previously scheduled alarm is canceled (only one alarm can be scheduled at any time). The returned value is then the number of seconds before any previously set alarm was to have been delivered. If time is zero, no alarm is scheduled, and any scheduled alarm is canceled. If the return value is zero, no alarm is currently scheduled. (See the Unix man page alarm(2).) Availability: Unix.",1,0,0,0,,1,0,0,0,1,0,0
57,"subprocess.check_output(args, *, stdin=None, stderr=None, shell=False, universal_newlines=False)
 Run command with arguments and return its output as a byte string.
 
 If the return code was non-zero it raises a CalledProcessError. The CalledProcessError object will have the return code in the returncode attribute and any output in the output attribute.
 
 The arguments shown above are merely the most common ones, described below in Frequently Used Arguments (hence the slightly odd notation in the abbreviated signature). The full function signature is largely the same as that of the Popen constructor, except that stdout is not permitted as it is used internally. All other supplied arguments are passed directly through to the Popen constructor.
 
 Examples:
 
 >>> subprocess.check_output([""echo"", ""Hello World!""])
 'Hello World!\n'
 
 >>> subprocess.check_output(""exit 1"", shell=True)
 Traceback (most recent call last):
  ...
 subprocess.CalledProcessError: Command 'exit 1' returned non-zero exit status 1
 To also capture standard error in the result, use stderr=subprocess.STDOUT:
 
 >>> subprocess.check_output(
 ... ""ls non_existent_file; exit 0"",
 ... stderr=subprocess.STDOUT,
 ... shell=True)
 'ls: non_existent_file: No such file or directory\n'
 New in version 2.7.
 
 Warning Using shell=True can be a security hazard. See the warning under Frequently Used Arguments for details.
 Note Do not use stderr=PIPE with this function as that can deadlock based on the child process error volume. Use Popen with the communicate() method when you need a stderr pipe.",1,0,1,0,1,0,0,1,1,0,0,0
58,"class asyncore.dispatcher
 The dispatcher class is a thin wrapper around a low-level socket object. To make it more useful, it has a few methods for event-handling which are called from the asynchronous loop. Otherwise, it can be treated as a normal non-blocking socket object.
 
 The firing of low-level events at certain times or in certain connection states tells the asynchronous loop that certain higher-level events have taken place. For example, if we have asked for a socket to connect to another host, we know that the connection has been made when the socket becomes writable for the first time (at this point you know that you may write to it with the expectation of success). The implied higher-level events are:
 
 Event Description
 handle_connect() Implied by the first read or write event
 handle_close() Implied by a read event with no data available
 handle_accept() Implied by a read event on a listening socket
 During asynchronous processing, each mapped channel’s readable() and writable() methods are used to determine whether the channel’s socket should be added to the list of channels select()ed or poll()ed for read and write events.
 
 Thus, the set of channel events is larger than the basic socket events.",1,1,0,1,0,1,1,0,0,0,0,
59,"class asynchat.async_chat
 This class is an abstract subclass of asyncore.dispatcher. To make practical use of the code you must subclass async_chat, providing meaningful collect_incoming_data() and found_terminator() methods. The asyncore.dispatcher methods can be used, although not all make sense in a message/response context.
 
 Like asyncore.dispatcher, async_chat defines a set of events that are generated by an analysis of socket conditions after a select() call. Once the polling loop has been started the async_chat object’s methods are called by the event-processing framework with no action on the part of the programmer.
 
 Two class attributes can be modified, to improve performance, or possibly even to conserve memory.
 
 ac_in_buffer_size
 The asynchronous input buffer size (default 4096).
 
 ac_out_buffer_size
 The asynchronous output buffer size (default 4096).
 
 Unlike asyncore.dispatcher, async_chat allows you to define a first-in-first-out queue (fifo) of producers. A producer need have only one method, more(), which should return data to be transmitted on the channel. The producer indicates exhaustion (i.e. that it contains no more data) by having its more() method return the empty string. At this point the async_chat object removes the producer from the fifo and starts using the next producer, if any. When the producer fifo is empty the handle_write() method does nothing. You use the channel object’s set_terminator() method to describe how to recognize the end of, or an important breakpoint in, an incoming transmission from the remote endpoint.
 
 To build a functioning async_chat subclass your input methods collect_incoming_data() and found_terminator() must handle the data that the channel receives asynchronous",1,1,1,1,0,1,1,1,0,0,0,0
60,mimify - MIME processing of mail messages,1,0,0,0,0,0,0,0,0,0,0,1
61,"json.loads(s[, encoding[, cls[, object_hook[, parse_float[, parse_int[, parse_constant[, object_pairs_hook[, **kw]]]]]]]])",0,0,0,0,0,0,0,0,0,0,0,1
62,Deserialize s (a str or unicode instance containing a JSON document) to a Python object using this conversion table.,1,0,0,0,0,0,0,0,0,0,0,1
63,"mimetypes.guess_all_extensions(type, strict=True)
 Guess the extensions for a file based on its MIME type, given by type. The return value is a list of strings giving all possible filename extensions, including the leading dot ('.'). The extensions are not guaranteed to have been associated with any particular data stream, but would be mapped to the MIME type type by guess_type().
 
 The optional strict argument has the same meaning as with the guess_type() function.",1,0,0,0,0,0,0,0,0,0,0,0
64,"class email.message.Message
 The constructor takes no arguments.
 
 as_string([unixfrom])
 Return the entire message flattened as a string. When optional unixfrom is True, the envelope header is included in the returned string. unixfrom defaults to False. Flattening the message may trigger changes to the Message if defaults need to be filled in to complete the transformation to a string (for example, MIME boundaries may be generated or modified).
 
 Note that this method is provided as a convenience and may not always format the message the way you want. For example, by default it mangles lines that begin with From. For more flexibility, instantiate a Generator instance and use its flatten() method directly. For example:
 
 from cStringIO import StringIO
 from email.generator import Generator
 fp = StringIO()
 g = Generator(fp, mangle_from_=False, maxheaderlen=60)
 g.flatten(msg)
 text = fp.getvalue()",1,1,0,1,0,1,0,0,1,0,0,1
65,"base64.b64encode(s[, altchars])
 Encode a string using Base64.
 
 s is the string to encode. Optional altchars must be a string of at least length 2 (additional characters are ignored) which specifies an alternative alphabet for the + and / characters. This allows an application to e.g. generate URL or filesystem safe Base64 strings. The default is None, for which the standard Base64 alphabet is used.
 
 The encoded string is returned.",1,0,1,1,0,0,0,0,0,0,0,0
66,"binhex.binhex(input, output)
 Convert a binary file with filename input to binhex file output. The output parameter can either be a filename or a file-like object (any object supporting a write() and close() method).",1,0,1,0,0,0,0,0,0,0,0,0
67,"binascii.crc32(data[, crc])
 Compute CRC-32, the 32-bit checksum of data, starting with an initial crc. This is consistent with the ZIP file checksum. Since the algorithm is designed for use as a checksum algorithm, it is not suitable for use as a general hash algorithm. Use as follows:
 
 print binascii.crc32(""hello world"")
 # Or, in two pieces:
 crc = binascii.crc32(""hello"")
 crc = binascii.crc32("" world"", crc)
 print crc",1,0,0,0,0,0,0,0,1,0,0,0
68,"quopri.encode(input, output, quotetabs)
 Encode the contents of the input file and write the resulting quoted-printable data to the output file. input and output must either be file objects or objects that mimic the file object interface. input will be read until input.readline() returns an empty string. quotetabs is a flag which controls whether to encode embedded spaces and tabs; when true it encodes such embedded whitespace, and when false it leaves them unencoded. Note that spaces and tabs appearing at the end of lines are always encoded, as per RFC 1521.
 https://docs.python.org/2/library/quopri.html",1,0,1,0,0,0,0,0,0,0,1,0
69,"uu.encode(in_file, out_file[, name[, mode]])
 Uuencode file in_file into file out_file. The uuencoded file will have the header specifying name and mode as the defaults for the results of decoding the file. The default defaults are taken from in_file, or '-' and 0666 respectively.",1,0,0,0,0,0,0,0,0,0,0,0
70,"HTMLParser.handle_starttag(tag, attrs)
 This method is called to handle the start of a tag (e.g. <div id=""main"">).
 
 The tag argument is the name of the tag converted to lower case. The attrs argument is a list of (name, value) pairs containing the attributes found inside the tag’s <> brackets. The name will be translated to lower case, and quotes in the value have been removed, and character and entity references have been replaced.
 
 For instance, for the tag <A HREF=""https://www.cwi.nl/"">, this method would be called as handle_starttag('a', [('href', 'https://www.cwi.nl/')]).
 
 Changed in version 2.6: All entity references from htmlentitydefs are now replaced in the attribute values.",1,0,0,0,0,0,0,0,1,0,0,1
71,"xml.dom.getDOMImplementation([name[, features]])
 Return a suitable DOM implementation. The name is either well-known, the module name of a DOM implementation, or None. If it is not None, imports the corresponding module and returns a DOMImplementation object if the import succeeds. If no name is given, and if the environment variable PYTHON_DOM is set, this variable is used to find the implementation.
 
 If name is not given, this examines the available implementations to find one with the required feature set. If no implementation can be found, raise an ImportError. The features list must be a sequence of (feature, version) pairs which are passed to the hasFeature() method on available DOMImplementation objects.
 
 Some convenience constants are also provided:
 
 xml.dom.EMPTY_NAMESPACE
 The value used to indicate that no namespace is associated with a node in the DOM. This is typically found as the namespaceURI of a node, or used as the namespaceURI parameter to a namespaces-specific method.
 
 New in version 2.2.
 
 xml.dom.XML_NAMESPACE
 The namespace URI associated with the reserved prefix xml, as defined by Namespaces in XML (section 4).
 
 New in version 2.2.
 
 xml.dom.XMLNS_NAMESPACE
 The namespace URI for namespace declarations, as defined by Document Object Model (DOM) Level 2 Core Specification (section 1.1.8).
 
 New in version 2.2.
 
 xml.dom.XHTML_NAMESPACE
 The URI of the XHTML namespace as defined by XHTML 1.0: The Extensible HyperText Markup Language (section 3.1.1).
 
 New in version 2.2.",1,0,1,0,0,1,0,0,0,0,0,1
72,"xml.sax.parseString(string, handler[, error_handler])
 Similar to parse(), but parses from a buffer string received as a parameter.
 
 A typical SAX application uses three kinds of objects: readers, handlers and input sources. “Reader” in this context is another term for parser, i.e. some piece of code that reads the bytes or characters from the input source, and produces a sequence of events. The events then get distributed to the handler objects, i.e. the reader invokes a method on the handler. A SAX application must therefore obtain a reader object, create or open the input sources, create the handlers, and connect these objects all together. As the final step of preparation, the reader is called to parse the input. During parsing, methods on the handler objects are called based on structural and syntactic events from the input data.
 
 For these objects, only the interfaces are relevant; they are normally not instantiated by the application itself. Since Python does not have an explicit notion of interface, they are formally introduced as classes, but applications may use implementations which do not inherit from the provided classes. The InputSource, Locator, Attributes, AttributesNS, and XMLReader interfaces are defined in the module xml.sax.xmlreader. The handler interfaces are defined in xml.sax.handler. For convenience, InputSource (which is often instantiated directly) and the handler classes are also available from xml.sax.",0,1,0,1,0,1,1,0,0,0,0,0
73,"xml.sax.saxutils.quoteattr(data[, entities])
 Similar to escape(), but also prepares data to be used as an attribute value. The return value is a quoted version of data with any additional required replacements. quoteattr() will select a quote character based on the content of data, attempting to avoid encoding any quote characters in the string. If both single- and double-quote characters are already in data, the double-quote characters will be encoded and data will be wrapped in double-quotes. The resulting string can be used directly as an attribute value:
 
 >>> print ""<element attr=%s>"" % quoteattr(""ab ' cd \"" ef"")
 <element attr=""ab ' cd &quot; ef"">
 This function is useful when generating attribute values for HTML or any SGML using the reference concrete syntax.
 
 New in version 2.2.",1,0,0,1,0,1,0,0,1,0,0,0
74,"cgi.parse_multipart(fp, pdict)
 Parse input of type multipart/form-data (for file uploads). Arguments are fp for the input file and pdict for a dictionary containing other parameters in the Content-Type header.
 
 Returns a dictionary just like urlparse.parse_qs() keys are the field names, each value is a list of values for that field. This is easy to use but not much good if you are expecting megabytes to be uploaded — in that case, use the FieldStorage class instead which is much more flexible.
 
 Note that this does not parse nested multipart parts — use FieldStorage for tha",1,0,1,0,0,0,0,0,0,0,0,0
